,Fecha,$DYX,$S&P500,$SHA,$UKX,$SX5P
0,01/2019,95.58,2704.1,2584.57,6968.85,2897.13
1,02/2019,96.16,2709.8,2940.95,7074.73,3029.67
2,03/2019,97.28,2834.4,3090.76,7279.19,3117.01
3,04/2019,97.48,2945.83,3078.34,7418.22,3199.51
4,05/2019,97.61,2752.06,2898.7,7161.71,3042.89
5,06/2019,96.11,2941.76,2978.88,7425.63,3178.94
6,07/2019,98.52,2980.38,2932.51,7586.78,3181.29
7,08/2019,98.92,2926.46,2886.24,7207.18,3136.23
8,09/2019,99.38,2976.74,2905.19,7408.21,3255.74
9,10/2019,97.35,3037.56,2929.06,7248.38,3267.22
10,11/2019,98.27,3140.98,2871.98,7346.53,3344.72
11,12/2019,96.39,3230.78,3050.12,7542.44,3403.03
12,01/2020,96.5,3225.52,3092.29,7587.85,3433.74
13,02/2020,98.13,2954.22,2880.3,6580.61,3060.01
14,03/2020,99.05,2584.59,2750.3,5671.96,2730.31
15,04/2020,99.02,2912.43,2860.08,5901.21,2853.47
16,05/2020,98.34,3044.31,2852.35,6076.6,2892.84
17,06/2020,97.39,3100.29,2984.67,6169.74,2988.99
18,07/2020,93.35,3271.12,3310.01,5897.76,2912.9
19,08/2020,92.14,3500.31,3395.68,5963.57,2954.55
20,09/2020,93.89,3363.0,3218.05,5866.1,2904.12
21,10/2020,94.04,3269.96,3224.53,5577.27,2700.62
22,11/2020,91.87,3621.63,3391.76,6266.19,3054.19
23,12/2020,89.93,3756.07,3473.07,6460.52,3108.3
24,01/2021,90.58,3714.24,3483.07,6407.46,3075.34
25,02/2021,90.98,3811.15,3655.09,6528.72,3185.26
26,03/2021,93.23,3972.89,3441.91,6713.63,3323.18
27,04/2021,91.28,4181.17,3446.86,6969.81,3382.7
28,05/2021,90.03,4204.11,3615.48,7022.61,3439.11
29,06/2021,92.44,4297.5,3591.2,7037.47,3512.5
30,07/2021,92.17,4395.26,3397.36,7032.3,3555.81
31,08/2021,92.63,4522.68,3543.94,7119.7,3617.19
32,09/2021,94.23,4307.54,3568.17,7086.42,3499.42
33,10/2021,94.12,4605.38,3547.34,7237.57,3688.32
34,11/2021,95.99,4567.0,3563.89,7059.45,3593.42
35,12/2021,95.97,4766.18,3639.78,7384.54,3818.46
36,01/2022,96.54,4515.55,3361.44,7464.37,3747.52
37,02/2022,96.71,4373.94,3462.31,7458.25,3642.44
38,03/2022,99.06,4204.31,3309.75,7155.64,3491.13
