,DateTime,$DYX,$S&P500,$SHA,$UKX,$SX5P
0,2019-01-01,95.58,2704.1,2584.57,6968.85,2897.13
1,2019-02-01,96.16,2709.8,2940.95,7074.73,3029.67
2,2019-03-01,97.28,2834.4,3090.76,7279.19,3117.01
3,2019-04-01,97.48,2945.83,3078.34,7418.22,3199.51
4,2019-05-01,97.61,2752.06,2898.7,7161.71,3042.89
5,2019-06-01,96.11,2941.76,2978.88,7425.63,3178.94
6,2019-07-01,98.52,2980.38,2932.51,7586.78,3181.29
7,2019-08-01,98.92,2926.46,2886.24,7207.18,3136.23
8,2019-09-01,99.38,2976.74,2905.19,7408.21,3255.74
9,2019-10-01,97.35,3037.56,2929.06,7248.38,3267.22
10,2019-11-01,98.27,3140.98,2871.98,7346.53,3344.72
11,2019-12-01,96.39,3230.78,3050.12,7542.44,3403.03
12,2020-01-01,96.5,3225.52,3092.29,7587.85,3433.74
13,2020-02-01,98.13,2954.22,2880.3,6580.61,3060.01
14,2020-03-01,99.05,2584.59,2750.3,5671.96,2730.31
15,2020-04-01,99.02,2912.43,2860.08,5901.21,2853.47
16,2020-05-01,98.34,3044.31,2852.35,6076.6,2892.84
17,2020-06-01,97.39,3100.29,2984.67,6169.74,2988.99
18,2020-07-01,93.35,3271.12,3310.01,5897.76,2912.9
19,2020-08-01,92.14,3500.31,3395.68,5963.57,2954.55
20,2020-09-01,93.89,3363.0,3218.05,5866.1,2904.12
21,2020-10-01,94.04,3269.96,3224.53,5577.27,2700.62
22,2020-11-01,91.87,3621.63,3391.76,6266.19,3054.19
23,2020-12-01,89.93,3756.07,3473.07,6460.52,3108.3
24,2021-01-01,90.58,3714.24,3483.07,6407.46,3075.34
25,2021-02-01,90.98,3811.15,3655.09,6528.72,3185.26
26,2021-03-01,93.23,3972.89,3441.91,6713.63,3323.18
27,2021-04-01,91.28,4181.17,3446.86,6969.81,3382.7
28,2021-05-01,90.03,4204.11,3615.48,7022.61,3439.11
29,2021-06-01,92.44,4297.5,3591.2,7037.47,3512.5
30,2021-07-01,92.17,4395.26,3397.36,7032.3,3555.81
31,2021-08-01,92.63,4522.68,3543.94,7119.7,3617.19
32,2021-09-01,94.23,4307.54,3568.17,7086.42,3499.42
33,2021-10-01,94.12,4605.38,3547.34,7237.57,3688.32
34,2021-11-01,95.99,4567.0,3563.89,7059.45,3593.42
35,2021-12-01,95.97,4766.18,3639.78,7384.54,3818.46
36,2022-01-01,96.54,4515.55,3361.44,7464.37,3747.52
37,2022-02-01,96.71,4373.94,3462.31,7458.25,3642.44
38,2022-03-01,99.06,4204.31,3309.75,7155.64,3491.13
