,CountryName,DateTime,StringencyIndex,ContainmentHealthIndex,EconomicSupportIndex,GovernmentResponseIndex
0,Afghanistan,2020-01-01,0.0,0.0,0.0,0.0
1,Afghanistan,2020-02-01,0.0,0.0,0.0,0.0
2,Afghanistan,2020-03-01,27.78,26.19,0.0,22.92
3,Afghanistan,2020-04-01,67.59,55.36,0.0,48.44
4,Afghanistan,2020-05-01,84.26,67.86,25.0,62.5
5,Afghanistan,2020-06-01,84.26,67.86,0.0,59.38
6,Afghanistan,2020-07-01,78.7,69.05,0.0,60.42
7,Afghanistan,2020-08-01,78.7,69.05,0.0,60.42
8,Afghanistan,2020-09-01,21.3,40.48,0.0,35.42
9,Afghanistan,2020-10-01,28.7,34.52,0.0,30.21
10,Afghanistan,2020-11-01,9.26,20.24,0.0,17.71
11,Afghanistan,2020-12-01,12.04,23.81,0.0,20.83
12,Afghanistan,2021-01-01,12.04,23.81,0.0,20.83
13,Afghanistan,2021-02-01,12.04,20.24,0.0,17.71
14,Afghanistan,2021-03-01,12.04,23.1,0.0,20.21
15,Afghanistan,2021-04-01,26.85,30.83,0.0,26.98
16,Afghanistan,2021-05-01,26.85,30.83,0.0,26.98
17,Afghanistan,2021-06-01,41.67,40.95,0.0,35.83
18,Afghanistan,2021-07-01,46.3,38.93,0.0,34.06
19,Afghanistan,2021-08-01,52.31,49.7,0.0,43.49
20,Afghanistan,2021-09-01,18.52,15.71,0.0,13.75
21,Afghanistan,2021-10-01,35.19,31.79,0.0,27.81
22,Afghanistan,2021-11-01,27.78,24.64,0.0,21.56
23,Afghanistan,2021-12-01,27.78,24.64,0.0,21.56
24,Afghanistan,2022-01-01,19.44,19.29,0.0,16.88
25,Afghanistan,2022-02-01,19.44,19.29,0.0,16.88
26,Afghanistan,2022-03-01,19.44,19.29,0.0,16.88
27,Albania,2020-01-01,0.0,0.0,0.0,0.0
28,Albania,2020-02-01,0.0,0.0,0.0,0.0
29,Albania,2020-03-01,8.33,7.14,0.0,6.25
30,Albania,2020-04-01,84.26,69.05,37.5,65.1
31,Albania,2020-05-01,89.81,75.0,62.5,73.44
32,Albania,2020-06-01,71.3,64.29,75.0,65.62
33,Albania,2020-07-01,68.52,62.5,75.0,64.06
34,Albania,2020-08-01,62.96,62.5,75.0,64.06
35,Albania,2020-09-01,54.63,57.14,50.0,56.25
36,Albania,2020-10-01,54.63,59.52,50.0,58.33
37,Albania,2020-11-01,50.93,58.93,50.0,57.81
38,Albania,2020-12-01,65.74,68.45,50.0,66.15
39,Albania,2021-01-01,56.48,62.5,50.0,60.94
40,Albania,2021-02-01,60.19,66.31,75.0,67.4
41,Albania,2021-03-01,60.19,66.31,75.0,67.4
42,Albania,2021-04-01,60.19,67.74,50.0,65.52
43,Albania,2021-05-01,54.63,64.17,50.0,62.4
44,Albania,2021-06-01,46.3,52.86,50.0,52.5
45,Albania,2021-07-01,37.96,47.5,50.0,47.81
46,Albania,2021-08-01,37.96,43.21,50.0,44.06
47,Albania,2021-09-01,38.89,45.6,50.0,46.15
48,Albania,2021-10-01,46.3,50.0,50.0,50.0
49,Albania,2021-11-01,46.3,50.0,50.0,50.0
50,Albania,2021-12-01,45.37,52.38,50.0,52.08
51,Albania,2022-01-01,46.3,52.98,50.0,52.6
