Date, Close
"03/2022, ""3,491.13"""
"02/2022, ""3,642.44"""
"01/2022, ""3,747.52"""
"12/2021, ""3,818.46"""
"11/2021, ""3,593.42"""
"10/2021, ""3,688.32"""
"09/2021, ""3,499.42"""
"08/2021, ""3,617.19"""
"07/2021, ""3,555.81"""
"06/2021, ""3,512.50"""
"05/2021, ""3,439.11"""
"04/2021, ""3,382.70"""
"03/2021, ""3,323.18"""
"02/2021, ""3,185.26"""
"01/2021, ""3,075.34"""
"12/2020, ""3,108.30"""
"11/2020, ""3,054.19"""
"10/2020, ""2,700.62"""
"09/2020, ""2,904.12"""
"08/2020, ""2,954.55"""
"07/2020, ""2,912.90"""
"06/2020, ""2,988.99"""
"05/2020, ""2,892.84"""
"04/2020, ""2,853.47"""
"03/2020, ""2,730.31"""
"02/2020, ""3,060.01"""
"01/2020, ""3,433.74"""
"12/2019, ""3,403.03"""
"11/2019, ""3,344.72"""
"10/2019, ""3,267.22"""
"09/2019, ""3,255.74"""
"08/2019, ""3,136.23"""
"07/2019, ""3,181.29"""
"06/2019, ""3,178.94"""
"05/2019, ""3,042.89"""
"04/2019, ""3,199.51"""
"03/2019, ""3,117.01"""
"02/2019, ""3,029.67"""
"01/2019, ""2,897.13"""
