Date,Close
"03/2022, ""4,204.31"""
"02/2022, ""4,373.94"""
"01/2022, ""4,515.55"""
"12/2021, ""4,766.18"""
"11/2021, ""4,567.00"""
"10/2021,""4,605.38"""
"09/2021, ""4,307.54"""
"08/2021, ""4,522.68"""
"07/2021, ""4,395.26"""
"06/2021, ""4,297.50"""
"05/2021, ""4,204.11"""
"04/2021, ""4,181.17"""
"03/2021, ""3,972.89"""
"02/2021, ""3,811.15"""
"01/2021, ""3,714.24"""
"12/2020, ""3,756.07"""
"11/2020, ""3,621.63"""
"10/2020, ""3,269.96"""
"09/2020, ""3,363.00"""
"08/2020, ""3,500.31"""
"07/2020, ""3,271.12"""
"06/2020, ""3,100.29"""
"05/2020, ""3,044.31"""
"04/2020, ""2,912.43"""
"03/2020, ""2,584.59"""
"02/2020, ""2,954.22"""
"01/2020, ""3,225.52"""
"12/2019, ""3,230.78"""
"11/2019, ""3,140.98"""
"10/2019, ""3,037.56"""
"09/2019, ""2,976.74"""
"08/2019, ""2,926.46"""
"07/2019, ""2,980.38"""
"06/2019, ""2,941.76"""
"05/2019, ""2,752.06"""
"04/2019, ""2,945.83"""
"03/2019, ""2,834.40"""
"02/2019, ""2,709.80"""
"01/2019, ""2,704.10"""
