Date, Close
03/2022, 3,309.75
02/2022, 3,462.31
01/2022, 3,361.44
12/2021, 3,639.78
11/2021, 3,563.89
10/2021, 3,547.34
09/2021, 3,568.17
08/2021, 3,543.94
07/2021, 3,397.36
06/2021, 3,591.20
05/2021, 3,615.48
04/2021, 3,446.86
03/2021, 3,441.91
02/2021, 3,655.09
01/2021, 3,483.07
12/2020, 3,473.07
11/2020, 3,391.76
10/2020, 3,224.53
09/2020, 3,218.05
08/2020, 3,395.68
07/2020, 3,310.01
06/2020, 2,984.67
05/2020, 2,852.35
04/2020, 2,860.08
03/2020, 2,750.30
02/2020, 2,880.30
01/2020, 3,092.29
12/2019, 3,050.12
11/2019, 2,871.98
10/2019, 2,929.06
09/2019, 2,905.19
08/2019, 2,886.24
07/2019, 2,932.51
06/2019, 2,978.88
05/2019, 2,898.70
04/2019, 3,078.34
03/2019 3,090.76
02/2019, 2,940.95
01/2019, 2,584.57 
