,Unnamed: 0,CountryName,Date,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
0,0,Aruba,20200101,0.0,0.0,0.0,0.0
31,31,Aruba,20200201,0.0,0.0,0.0,0.0
60,60,Aruba,20200301,0.0,0.0,0.0,0.0
91,91,Aruba,20200401,85.19,70.31,67.86,87.5
121,121,Aruba,20200501,85.19,70.31,67.86,87.5
152,152,Aruba,20200601,57.41,54.69,50.0,87.5
182,182,Aruba,20200701,47.22,46.88,41.07,87.5
213,213,Aruba,20200801,43.52,41.67,38.69,62.5
244,244,Aruba,20200901,71.76,64.32,64.58,62.5
274,274,Aruba,20201001,54.17,54.43,53.27,62.5
305,305,Aruba,20201101,40.74,45.31,42.86,62.5
335,335,Aruba,20201201,28.7,40.1,36.9,62.5
366,366,Afghanistan,20200101,0.0,0.0,0.0,0.0
397,397,Afghanistan,20200201,0.0,0.0,0.0,0.0
426,426,Afghanistan,20200301,27.78,22.92,26.19,0.0
457,457,Afghanistan,20200401,67.59,48.44,55.36,0.0
487,487,Afghanistan,20200501,84.26,62.5,67.86,25.0
518,518,Afghanistan,20200601,84.26,59.38,67.86,0.0
548,548,Afghanistan,20200701,78.7,60.42,69.05,0.0
579,579,Afghanistan,20200801,78.7,60.42,69.05,0.0
610,610,Afghanistan,20200901,21.3,35.42,40.48,0.0
640,640,Afghanistan,20201001,28.7,30.21,34.52,0.0
671,671,Afghanistan,20201101,9.26,17.71,20.24,0.0
701,701,Afghanistan,20201201,12.04,20.83,23.81,0.0
732,732,Angola,20200101,0.0,0.0,0.0,0.0
763,763,Angola,20200201,0.0,0.0,0.0,0.0
792,792,Angola,20200301,8.33,6.77,7.74,0.0
823,823,Angola,20200401,90.74,55.21,63.1,0.0
853,853,Angola,20200501,78.7,62.5,60.71,75.0
884,884,Angola,20200601,77.78,61.98,60.12,75.0
914,914,Angola,20200701,75.93,54.69,58.93,25.0
945,945,Angola,20200801,79.17,58.07,62.8,25.0
976,976,Angola,20200901,81.02,59.11,63.99,25.0
1006,1006,Angola,20201001,75.0,52.6,60.12,0.0
1037,1037,Angola,20201101,60.19,47.92,51.19,25.0
1067,1067,Angola,20201201,57.41,43.23,49.4,0.0
1098,1098,Albania,20200101,0.0,0.0,0.0,0.0
1129,1129,Albania,20200201,0.0,0.0,0.0,0.0
1158,1158,Albania,20200301,8.33,6.25,7.14,0.0
1189,1189,Albania,20200401,84.26,65.1,69.05,37.5
1219,1219,Albania,20200501,89.81,73.44,75.0,62.5
1250,1250,Albania,20200601,71.3,65.62,64.29,75.0
1280,1280,Albania,20200701,68.52,64.06,62.5,75.0
1311,1311,Albania,20200801,62.96,64.06,62.5,75.0
1342,1342,Albania,20200901,54.63,56.25,57.14,50.0
1372,1372,Albania,20201001,54.63,58.33,59.52,50.0
1403,1403,Albania,20201101,50.93,57.81,58.93,50.0
1433,1433,Albania,20201201,65.74,66.15,68.45,50.0
1464,1464,Andorra,20200101,0.0,0.0,0.0,0.0
1495,1495,Andorra,20200201,0.0,0.0,0.0,0.0
1524,1524,Andorra,20200301,0.0,0.0,0.0,0.0
1555,1555,Andorra,20200401,48.15,47.92,47.62,50.0
1585,1585,Andorra,20200501,52.78,53.65,50.6,75.0
1616,1616,Andorra,20200601,50.0,55.21,48.81,100.0
1646,1646,Andorra,20200701,31.48,44.79,36.9,100.0
1677,1677,Andorra,20200801,41.67,55.21,48.81,100.0
1708,1708,Andorra,20200901,41.67,55.21,48.81,100.0
1738,1738,Andorra,20201001,50.0,59.9,54.17,100.0
1769,1769,Andorra,20201101,59.26,65.1,60.12,100.0
1799,1799,Andorra,20201201,55.56,65.1,60.12,100.0
1830,1830,United Arab Emirates,20200101,0.0,0.0,0.0,0.0
1861,1861,United Arab Emirates,20200201,2.78,7.81,8.93,0.0
1890,1890,United Arab Emirates,20200301,15.74,15.1,17.26,0.0
1921,1921,United Arab Emirates,20200401,84.26,66.15,68.45,50.0
1951,1951,United Arab Emirates,20200501,81.48,75.0,78.57,50.0
1982,1982,United Arab Emirates,20200601,72.22,66.15,68.45,50.0
2012,2012,United Arab Emirates,20200701,72.22,64.06,66.07,50.0
2043,2043,United Arab Emirates,20200801,56.48,55.21,55.95,50.0
2074,2074,United Arab Emirates,20200901,54.63,54.17,54.76,50.0
2104,2104,United Arab Emirates,20201001,54.63,54.17,54.76,50.0
2135,2135,United Arab Emirates,20201101,49.07,51.04,51.19,50.0
2165,2165,United Arab Emirates,20201201,49.07,52.29,52.62,50.0
2196,2196,Argentina,20200101,0.0,0.0,0.0,0.0
2227,2227,Argentina,20200201,11.11,6.25,7.14,0.0
2256,2256,Argentina,20200301,11.11,6.25,7.14,0.0
2287,2287,Argentina,20200401,100.0,80.21,80.95,75.0
2317,2317,Argentina,20200501,88.89,78.65,79.17,75.0
2348,2348,Argentina,20200601,90.74,79.69,80.36,75.0
2378,2378,Argentina,20200701,92.59,78.65,79.17,75.0
2409,2409,Argentina,20200801,90.74,77.6,77.98,75.0
2440,2440,Argentina,20200901,87.96,76.04,76.19,75.0
2470,2470,Argentina,20201001,87.96,78.12,78.57,75.0
2501,2501,Argentina,20201101,81.94,74.74,74.7,75.0
2531,2531,Argentina,20201201,79.17,73.18,72.92,75.0
2562,2562,Australia,20200101,0.0,0.0,0.0,0.0
2593,2593,Australia,20200201,13.89,16.15,18.45,0.0
2622,2622,Australia,20200301,19.44,19.27,22.02,0.0
2653,2653,Australia,20200401,71.3,61.98,60.12,75.0
2683,2683,Australia,20200501,69.44,64.06,62.5,75.0
2714,2714,Australia,20200601,62.04,56.77,54.17,75.0
2744,2744,Australia,20200701,68.98,63.8,62.2,75.0
2775,2775,Australia,20200801,68.06,68.75,67.86,75.0
2806,2806,Australia,20200901,75.46,72.92,72.62,75.0
2836,2836,Australia,20201001,68.06,68.75,67.86,75.0
2867,2867,Australia,20201101,62.5,63.54,61.9,75.0
2897,2897,Australia,20201201,62.5,59.38,57.14,75.0
2928,2928,Austria,20200101,0.0,0.0,0.0,0.0
2959,2959,Austria,20200201,0.0,2.08,2.38,0.0
2988,2988,Austria,20200301,11.11,11.46,13.1,0.0
3019,3019,Austria,20200401,81.48,72.92,70.83,87.5
3049,3049,Austria,20200501,67.59,67.71,64.88,87.5
3080,3080,Austria,20200601,53.7,58.85,54.76,87.5
3110,3110,Austria,20200701,41.67,52.08,47.02,87.5
3141,3141,Austria,20200801,37.96,50.0,44.64,87.5
3172,3172,Austria,20200901,37.96,50.0,44.64,87.5
3202,3202,Austria,20201001,40.74,53.12,48.21,87.5
3233,3233,Austria,20201101,64.81,71.35,67.26,100.0
